HOME_TEAM_ID,VISITOR_TEAM_ID,SCORE_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,SCORE_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
60,58,110,0.465,0.704,0.314,28,38,131,0.563,0.767,0.323,30,46,0
52,55,109,0.447,0.629,0.333,21,47,125,0.487,0.886,0.303,28,43,0
56,62,114,0.512,0.813,0.464,24,36,118,0.468,0.65,0.425,23,41,0
54,38,128,0.522,0.85,0.515,25,49,107,0.429,0.85,0.279,25,40,1
66,65,126,0.506,0.676,0.419,25,46,127,0.455,0.722,0.35,30,54,0
45,46,98,0.38,0.611,0.405,26,37,99,0.442,0.714,0.324,18,59,0
44,42,101,0.429,0.6,0.282,27,44,107,0.5,0.8,0.382,16,45,0
57,43,92,0.374,0.692,0.167,22,42,124,0.512,0.774,0.324,28,55,0
47,40,95,0.417,0.9,0.206,15,38,123,0.511,0.64,0.433,29,51,0
65,38,104,0.448,0.864,0.259,18,41,113,0.477,0.905,0.385,31,37,0
37,61,127,0.578,0.818,0.419,27,45,100,0.4,0.737,0.313,25,42,1
39,64,92,0.386,0.833,0.32,22,49,86,0.432,0.833,0.478,19,42,1
48,59,133,0.566,0.711,0.429,25,32,129,0.556,0.789,0.452,33,46,1
41,63,110,0.419,0.767,0.45,17,41,116,0.44,0.808,0.304,23,61,0
49,51,123,0.526,0.658,0.421,24,43,126,0.478,0.758,0.382,24,40,0
43,58,115,0.463,0.793,0.372,29,45,110,0.427,0.758,0.3,24,45,1
66,61,125,0.553,0.667,0.375,34,52,93,0.44,0.565,0.261,18,36,1
54,60,125,0.485,0.591,0.378,31,51,129,0.495,0.75,0.355,23,54,0
53,45,119,0.506,0.759,0.361,20,54,111,0.468,0.45,0.298,22,41,1
64,59,153,0.546,0.792,0.421,36,39,157,0.543,0.791,0.31,35,50,0
52,48,100,0.4,0.722,0.35,19,45,115,0.47,0.743,0.344,22,44,0
50,55,102,0.419,0.84,0.231,23,41,133,0.512,0.833,0.487,30,42,0
56,40,102,0.439,0.75,0.3,23,37,117,0.437,0.805,0.276,21,53,0
62,42,114,0.541,0.818,0.421,22,44,109,0.477,1,0.436,22,30,1
47,46,102,0.419,0.762,0.258,18,47,105,0.494,0.684,0.385,25,47,0
65,39,106,0.407,0.893,0.324,23,49,103,0.442,0.676,0.343,20,43,1
51,38,106,0.415,0.75,0.241,25,38,129,0.541,0.741,0.405,28,48,0
41,37,112,0.488,0.815,0.296,16,43,108,0.423,0.667,0.286,20,45,1
50,63,119,0.462,0.68,0.381,26,42,114,0.388,0.725,0.29,25,59,1
60,56,104,0.473,0.909,0.194,22,42,124,0.535,0.905,0.382,32,43,0
57,44,95,0.392,0.828,0.257,16,31,132,0.511,0.844,0.366,36,46,0
58,43,110,0.5,0.833,0.31,25,34,128,0.558,0.85,0.429,30,39,0
66,48,107,0.4,0.7,0.238,27,58,111,0.402,0.652,0.292,31,56,0
51,64,103,0.404,0.708,0.368,19,42,117,0.554,0.813,0.5,26,38,0
40,42,118,0.5,0.667,0.429,22,48,125,0.537,0.72,0.475,18,38,0
49,55,120,0.442,0.786,0.318,20,44,123,0.5,0.852,0.353,21,46,0
46,45,142,0.554,0.846,0.514,34,50,111,0.462,0.737,0.351,29,35,1
53,37,109,0.429,0.923,0.317,23,45,130,0.5,0.786,0.545,23,47,0
38,65,111,0.545,0.778,0.406,29,30,112,0.462,0.769,0.533,28,47,0
54,64,113,0.542,0.655,0.2,30,40,108,0.429,0.813,0.459,25,44,1
52,51,106,0.435,0.889,0.372,22,44,111,0.439,0.609,0.324,21,51,0
41,58,125,0.5,0.95,0.414,25,47,118,0.512,0.909,0.4,24,36,1
63,57,119,0.435,0.81,0.367,20,39,123,0.506,0.75,0.406,23,43,0
50,61,91,0.39,0.724,0.238,23,42,103,0.455,0.789,0.32,21,48,0
60,59,106,0.39,0.684,0.344,25,50,114,0.439,0.818,0.294,29,57,0
56,45,124,0.512,0.806,0.292,27,42,121,0.433,0.857,0.295,23,49,1
44,43,116,0.517,0.667,0.294,26,37,117,0.473,0.81,0.389,27,48,0
47,62,106,0.477,0.636,0.278,24,44,101,0.468,0.842,0.333,17,41,1
37,39,124,0.538,0.889,0.424,25,35,116,0.511,0.833,0.39,30,39,1
48,42,99,0.417,0.815,0.259,19,48,107,0.447,0.636,0.439,27,38,0
55,38,87,0.288,0.846,0.25,17,40,135,0.561,0.818,0.556,28,51,0
49,54,128,0.558,0.733,0.345,28,47,119,0.505,0.421,0.415,32,41,1
50,66,126,0.394,0.628,0.236,29,58,120,0.412,0.757,0.242,31,62,1
40,63,109,0.5,0.85,0.154,20,34,121,0.5,0.63,0.294,29,49,0
56,46,103,0.489,0.7,0.32,30,52,96,0.412,0.667,0.286,26,46,1
64,65,103,0.471,0.778,0.31,21,45,94,0.376,0.815,0.348,19,44,1
51,58,109,0.512,0.933,0.346,25,49,85,0.344,0.778,0.257,12,43,1
52,60,123,0.417,0.818,0.3,28,56,127,0.5,0.667,0.382,28,46,0
41,59,120,0.523,0.857,0.417,25,53,109,0.478,0.714,0.3,28,33,1
49,57,107,0.427,0.75,0.317,18,43,122,0.455,0.737,0.419,30,58,0
40,61,120,0.584,0.875,0.457,36,47,90,0.305,0.774,0.235,8,44,1
43,53,121,0.477,0.913,0.4,25,52,111,0.44,0.87,0.282,24,42,1
62,45,135,0.551,0.864,0.45,34,53,101,0.422,0.679,0.324,23,33,1
46,44,119,0.565,0.533,0.441,25,43,104,0.453,0.769,0.39,23,38,1
38,37,105,0.424,0.815,0.289,21,54,95,0.366,1,0.316,18,48,1
54,50,120,0.441,0.773,0.289,28,54,129,0.512,0.893,0.529,23,38,0
57,52,112,0.476,0.85,0.375,29,51,103,0.383,0.853,0.308,19,41,1
66,63,118,0.402,0.788,0.311,28,53,125,0.49,0.606,0.333,31,57,0
64,58,110,0.466,0.714,0.342,26,32,123,0.566,0.862,0.429,27,42,0
40,59,114,0.494,0.85,0.344,22,46,124,0.505,0.842,0.378,26,34,0
55,39,103,0.481,0.81,0.455,24,40,93,0.468,0.867,0.333,21,34,1
61,43,109,0.489,0.647,0.353,22,35,110,0.464,0.857,0.378,28,50,0
